"","Acrónimo","Título","Descripción","Año","Mes","Día","Ciudad","País","Tópicos"
"1","ICCCBE+CIBW78 2020","International ICCCBE and CIB W78 Joint Conference on Computing in Civil and Building Engineering 2020 - 18th ICCCBE + 37th CIB W78 2020",""," 2020","Jun","2","Sao Paulo","Brazil","sensoring and monitoring/ data science,computer aided design analysis simulation,visualization/ virtual mixed augmented reality,bim/knowledge management/fm/smart cities,"
"2","IACL-28","The 28th Annual Conference of the International Association of Chinese Linguistics",""," 2020","May","15","Hangzhou","China",""
"3","IWESEP 2019","10th IEEE International Workshop on Empirical Software Engineering in Practice",""," 2019","Dec","13","Tokyo","Japan",""
"4","ICFEC 2020","4th IEEE International Conference on Fog and Edge Computing (ICFEC 2020)",""," 2020","May","11","Melbourne","Australia","edge computing,fog computing,"
"5","StaRAI2020","Ninth Workshop on Statistical Relational AI","",NA,"-",NA,"New York","United States","neural ai,probabilistic ai,logical ai,statistical relational learning,"
"6","MedHack19-01","Health data machine learning Hackathon at UTHealth","",NA,"-",NA,"Houston","United States",""
"7","FC 2020_SIN","The 10th international conference on frontier computing",""," 2020","Jul","10","Singapore","Singapore","frontier computing,computer science,artificial intelligence,information and communication technology,"
"8","ASAIS2019","Annual Southeast Asian International Seminar 2019",""," 2019","Nov","7","Depok","Indonesia",""
"9","BIOPOLI 2020","IV Workshop de Polímeros Biodegradables y Biocompuestos",""," 2020","Apr","6","Mar Del Plata","Argentina",""
"10","ICCS2020","International Conference on Cyber Security (ICCS)",""," 2020","Jan","21","Islamabad","Pakistan","software and information systems security,cyber physical systems security,applied areas of security,cyber security,"
"11","ICNNEE2019","International Conference on Non Conventional Energy - Nanotechnology & Nanomaterials for Energy and Environment (ICNNEE2019)",""," 2019","Oct","18","Kalyani","India",""
"12","QFF 2020","Quantum Frontiers and Fundamentals 2020",""," 2020","Jan","13","Bengaluru","India",""
"13","ICRDEEPE-2020","Recent Developments in Electrical, Electronics and Power Engineering",""," 2020","Jan","3","Hyderabad","India","signal processing and computational techniques,res and its applications,electric drives and its applications,power systems power electronics,"
"14","Inbix2020","Indian Conference on Bioinformatics 2020",""," 2020","Apr","16","Shillong","India","agricultural bioinformatics,systems genomics,bioinformatics,"
"15","AJL4","The 4th Asian Junior Linguists Conference",""," 2019","Dec","5","Tokyo","Japan","phonetics phonology,semantics,syntax,morphology,"
"16","ICT&ES-2019","Information-Communication Technologies & Embedded Systems",""," 2019","Nov","14","Mykolaiv","Ukraine","embedded systems,computer science,information systems,"
"17","GEAS2019","GEAS Graduate Conference “Sovereignty and Institutions in East Asia”",""," 2019","Nov","22","Berlin","Germany","sovereignty in east asia,"
"18","TECNO2020","La Tecnologia",""," 2019","Sep","14","","","avances tecnologicos,era tecnologica,la tecnologia,"
"19","BioSFE 2020","1st International Conference on Biotechnology, Smart Farming and Entrepreneurship for Food Security",""," 2020","Nov","1","Kuching","Malaysia","food security,entrepreneurship,smart farming,biotechnology,"
