Acronimo,Titulo,Descripcion,Año,Mes,Dia,Ciudad,Pais,Topicos
IC 2021,The 4th International Conference on Innovative Computing,-,2021,Feb,1,Taichung,Taiwan,"frontier computing,innovative computing,artificial intelligence,"
TI4SD2020,Conference on Innovation Technology for Sustainable Development,-,2020,Nov,12,Da Nang,Viet Nam,
MODE2021,Motion Design Education Summit: (re)connect,-,2021,Jun,10,Boston,United States,"motion graphics,motion design,design research,design,"
ICMET 2021,International Conference on Management Engineering and Technology,-,2021,Mar,29,Singapore,Singapore,"technology,engineering,management science,"
ICCI-STEM 2020,"International Conference on Contemporary Issues in Science, Technology, Engineering and Management",-,2020,Oct,1,Kampala,Uganda,"management,engineering,technology,science,"
ICACI 2020,Second International Conference on Adaptive Computational Intelligence (ICACI-2020),-,2020,Dec,15,Mysore,India,"data mining,"
ICSRS 2021,2021 5th International Conference on System Reliability and Safety,-,2021,Nov,24,Palermo,Italy,"life data analysis,accelerated life testing,fault tree analysis,business process improvement,"
DEW2020,Data Excellence Workshop 2020,-,2020,Oct,26,Amsterdam,Netherlands,
IIWIA-XXICIIS2020,II Workshop de Informática Avanzada - PRUEBA,-,2020,Nov,9,Tacna,Peru,"internet of things,big data,robotic,machine learning,"
CVNET 2020,The First International Workshop on Cooperative Vehicular NETworking,-,2020,Nov,17,Fez,Morocco,
AAS SLCTP 2020,"Annual Academic Session 2020, Sri Lanka College of Transfusion Physicians",-,2020,Nov,22,Colombo,Sri Lanka,
Cyber2021,Cyber Science 2021,-,2021,Jun,14,London,UK,"cyber incident responce,cyber situational awareness,social media,cyber security,"
IPF'2020,INFOCOMMUNICATIONS - Present and Future,-,2020,Nov,16,Odesa,Ukraine,"mobile communications,multiservice telecommunication networks.,information networks and technologies.,software engineering and computer science,"
IMRDC 2021,IMR Doctoral Conference 2021,-,2021,Feb,4,Bangalore,India,
CMPSE2020,"2020 4th International Conference on Composite Material, Polymer Science and Engineering",-,2020,Dec,6,Jeju Island,South Korea,"polymer materials,materials science,composite materials,"
REDEC-2020,Webinar:Desafios Académicos Redec 2020,-,-,-,-,Ecuador - Colombia,Ecuador,"internacionalización,emprendimiento vinculación responsabilidad social,investigación,educación,"
FOPV2020,Feminization of Poverty and Violence: The Status of Women in Our World,-,2020,Oct,9,,,"women,violence,poverty,human rights,"
CLS 57,57th Annual Meeting of the Chicago Linguistic Society,-,2021,May,6,Chicago,United States,"south asian languages,sign languages,language and race,language documentation and revitalization,"
ABIS2021,Association of Business Information Systems,-,2021,Mar,17,Galveston,United States,
ICVRMR2020,International Conference on Virtual and Mixed Reality Interfaces 2020,-,2020,Dec,11,Johor Bahru,Malaysia,"computer graphics,human computer interaction,augmented reality,virtual reality,"
TEMSMET 2020,"2020 IEEE International Conference on Technology, Engineering, Management for Societal impact using Marketing, Entrepreneurship and Talent",-,2020,Dec,10,Bengaluru,India,"mechanical and civil engineering,electronics electrical and computer engineering,entrepreneurship,management,"
COMS2-2021,"International Conference On Computing Science, Communication and Security",-,2021,Feb,6,Mehsana,India,"fuzzy logic,machine learning,artificial intelligence,cyber security,"
PERESC2020,Symposium on Power Electronic and Renewable Energy Systems Control-2020,-,2020,Dec,4,Argul,India,"microgrid,renewable energy systems,power electronic and electric drives,"
IIRA-2020,"INTERNATIONAL CONFERENCE ON INNOVATION IN IOT, ROBOTICS and AUTOMATION",-,2020,Oct,9,Moradabad,India,"iot,computer,automation,robotics,"
ICCCIS 2021,"2021 International Conference on Computing, Communication, and Intelligent Systems (ICCCIS)",-,2021,Feb,19,Greater Noida,India,"intelligent system,communication,computing,"
MLSI 2020,E-Conference on Machine Learning as a Service for Industries,-,2020,Sep,4,Bangalore,India,"cloud computing,big data,internet of things,machine learning,"
SCSAS2020,Smart Computing and Self-Adaptive Systems,-,-,-,-,Jalandhar,India,
AIMLA-2021,Artificial Intelligence and Machine Learning Applications-2021,-,2021,Feb,5,Jaipur,India,"neural networks,deep learning,artificial intelligence,machine learning,"
ICAB-2021,InternationalInernational Conference on Aatmanirbhar Bharat- Improving India's Competitiveness through Global Collaboration,-,2021,Feb,11,Delhi NCR,India,"implications for services sector,implications for society and governance,implications for business and economy,"
DEIMS2021,The 4th International Workshop on Digitization and E-Inclusion in Mathematics and Science 2021,-,2021,Feb,18,Tokyo,Japan,
NGS 2021,The 3rd International Symposium on Next Generation Systems,-,2021,Mar,23,Warsaw,Poland,
ICICIT-2021,International Confenrce on Innovations in Computer Science and Information Technology,-,2021,Mar,5,Pandharpur,India,"cloud computing and deep learning,internet of things,data science,machine learning,"
DD 2021,Dying.dialogues 2021,-,2021,Jan,30,Toronto,Canada,
ICCCI2021,2021 3rd International Conference on Computer Communication and the Internet,-,2021,Jun,25,Nagoya,Japan,"network management,smart grid,optical networks,network coding,"
ICAIBD 2021,2021 4th International Conference on Artificial Intelligence and Big Data,-,2021,May,28,Chengdu,China,"reasoning strategies,intelligent databases,decision support systems,intelligent agents,"
ICDIP 2021,The 13th International Conference on Digital Image Processing,-,2021,May,20,Singapore,Singapore,"fast algorithms,image formation,object recognition,noise control,"
