"","Acrónimo","Título","Descripción","Fecha","Lugar","Tópicos"
"1","COSM 2020","COSM 2020: Canadian Obesity Student Meeting","","Jun 17, 2020","Toronto, Canada","weight bias and stigma,obesity prevention and treatment,populations,health policy,"
"2","ICHFCT’20","2nd International Conference on Hydrogen & Fuel Cell Energy Technologies","","Mar 20, 2020","Hammamet, Tunisia","metal hydrogen,"
"3","VMBO 2020","The 14th International Workshop on Value Modelling and Business Ontologies","","Jan 16, 2020","Brussels, Belgium","business models,business ontology,value modelling,service design,"
"4","KDF2020","The AAAI-20 Workshop on Knowledge Discovery from Unstructured Data in Financial Services","","Feb 7, 2020","New York, NY, United States","machine learning,artificial intelligence,knowledge discovery,natural language processing,"
"5","IKIT 2020","International WorkShop on Information and Knowledge in Internet of Things","","Feb 5, 2020","Bogotá, Colombia","security in information systems,pervasive business intelligence,iot knowledge network,context aware systems and applications,"
"6","iATMS 2019","International Conference on Advances in Technology, Management and Sciences","","Oct 30, 2019","Dubai, UAE","smart computing,sciences,management,technology,"
"7","CMWR 2020","Computational Methods in Water Resources 2020","","Jun 21, 2020","Stanford, CA, United States",""
"8","TC2020","Biennial Threshold Concepts Conference 2020","","Jul 7, 2020","London, UK","educational development,academic development,higher education pedagogy,threshold concepts,"
"9","MobileCloud 2020","The 8th IEEE International Conference on Mobile Cloud Computing","","Apr 13, 2020","Oxford, UK","network edge cloud,mec,mobile cloud,cloud computing,"
"10","ICLI2020","International Conference on Live Interfaces 2020","","Mar 9, 2020","Trondheim, Norway","music and sound art,performance and performativity,artistic research,human computer interface,"
"11","AATSR19","Alternative Approaches to Scientific Realism","","Apr 16, 2020","Munich, Germany","pluralism,perspectival realism,relativism,structural realism,"
"12","SPINE DRD 2019","5th SPINE doctoral research day","","Nov 6, 2019","Basel, Switzerland","t3 completed study,t2 study in progress,t1 overview of phd,"
"13","LDMSCON2019","LDMS Users Group Conference","","Oct 22, 2019","Orlando, FL, United States","ldms,performance analysis,monitoring,"
"14","CyCon 2020","CyCon 2020: 12th International Conference on Cyber Conflict","","May 26, 2020","Tallinn, Estonia","ict and critical infrastructure threats,legal aspects of cyber operations,ai and cognitive cyber security,cyber weapons and apt capabilities,"
"15","WiCyS 2020","Women in CyberSecurity Annual Conference","","Mar 12, 2020","Aurora, CO, United States",""
"16","SAUPEC/RobMech/PRASA 2020","SAUPEC/RobMech/PRASA 2020","","Jan 29, 2020","Cape Town, South Africa",""
"17","ICCCIoT 2020","International Conference on Computer Communication and Internet of Things (ICCCIoT) 2020","","Feb 3, 2020","Agartala, Tripura, India","fundamental and applied sciences,electrical and electronic engineering,computer and information sciences,computer communication and iot,"
"18","SUSTAINABLE_COOKING 2020","Sustainable Cooking: Technology, Economics, Environment and Health","","-","New York, NY, United States","environment and health,sustainable cooking,economics,technology,"
"19","SMART_RE 2020","Smart Renewable Energy and Power Grid Systems","","-","New York, NY, United States","power grid systems,solar and wind energy,smart renewable energy systems,smart grid,"
"20","ITCSD2020","3rd International Conference on Innovative Technologies for Clean and Sustainable Development","","Feb 19, 2020","Chandigarh, India","sustainable constructing,building materials and construction,materials science,civil engineering,"
"21","ICLCHS 2019","International Conference on Life, Chemical and Health Sciences","","Oct 24, 2019","Bengaluru, India",""
"22","AES2019","1st International Conference on Advancement in Engineering Sciences 2019","","Sep 28, 2019","Katra, India",""
"23","Non-Q-wh-clauses 2020","Non-Interrogative Subordinate Wh-Clauses","","Feb 7, 2020","Cologne, Germany",""
"24","ICICEEE-2020","International Conference on Innovations in  Computer, Electrical and Electronics Engineering","","Jan 2, 2020","Pandharpur, India","computer science and engineering,electronics & telecommunication engineering,electrical engineering,"
"25","ICSICME-2020","International Conference on Sustainable Innovations in Civil and Mechanical Engineering","","Jan 2, 2020","Pandharpur, India","industrial engineering,composite,structural design,"
"26","ICSD 2020","8th International Conference on Sustainable Development","","Sep 9, 2020","Rome, Italy","education,energy,economics,sustainable development,"
"27","iCoMET 2020","2020 3rd International Conference on Computing, Mathematics and Engineering Technologies","","Jan 29, 2020","Sukkur, Pakistan","mathematics,engineering,computing,"
"28","ICMIR 2019","International Conference on Multidisciplinary Innovations and Research","","Nov 23, 2019","Kuala Lumpur, Malaysia","design and arts,learning and education,"
"29","ICSMN-2020","International Conference on Smart Materials and Nanotechnology","","Jan 2, 2020","Pandharpur, India","soft magnetic materials,optoelectronic materials,nanomaterials and nanotechnology,crystal growth and applications,"
"30","HLS1","Heritage Language Syntax","","Mar 12, 2020","Utrecht, Netherlands","change in contact,diachronic syntax,heritage languages,syntax,"
"31","WACCI 2019","International Workshop on Adaptive, Compressive and Computational Imaging 2019","","-","Valparaiso, Chile","compressive sensing,3d imaging and computational displays,spectral imaging,computational imaging,"
"32","ACMC2019","The International Conference on Membrane Computing (Asian Branch)","","Nov 14, 2019","Xiamen, China","related topics,implementation of membrane computing models,applications of membrane computing,theoretical aspects of membrane computing,"
"33","IWITQS2020","International Workshop on Using IT in the service of Quraan and Sunnah and their sciences","","Jan 6, 2020","Khartoum, Sudan","knowledge management,information systems,computer sciences,information technology,"
"34","ICISP2020","9th International Conference on Image and Signal Processing","","Jun 4, 2020","Marrakech, Morocco",""
"35","WAMCA2019","10th Workshop on Applications for Multi-Core Architectures","","Oct 12, 2019","Campo Grande, Brazil","gpu,parallelism,multicore,hpc,"
"36","AMIA 2019 NLP Working Group Pre-Symposium","AMIA 2019 NLP Working Group Pre-Symposium:  Graduate Student Consortium, Community Challenges/Workshops, and System Demos","","Nov 13, 2019","Washington, DC, United States",""
"37","TCSET-2020","15th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering","","Feb 25, 2020","Lviv-Slavske, Ukraine","electronics,communication,computer engineering,internet of things,"
"38","SOMChE2020","32nd Symposium of Malaysian Chemical Engineers 2020","","Apr 9, 2020","Kuching, Malaysia","materials science and engineering,bioprocessing and biotechnology,environmental and waste management,green and sustainable processing,"
"39","<U+0406><U+0415><U+0415><U+0415> ATIT 2019","2019 IEEE International Conference on Advanced Trends in Information Theory","","Dec 17, 2019","Kyiv, Ukraine",""
